INPUT:link	OUTPUT:age	OUTPUT:code	OUTPUT:gender	OUTPUT:nickname	GOLDEN:age	GOLDEN:code	GOLDEN:gender	GOLDEN:nickname	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:rejected	ASSIGNMENT:skipped	ASSIGNMENT:expired	ASSIGNMENT:reward	ACCEPT:verdict	ACCEPT:comment
TAIA first pull	35	S8JMfzgvzT	мужской	вано							https://toloka.yandex.ru/task/23846483/00016bde53--609269d9ac6a313e5c770241	00016bde53--609269d9ac6a313e5c770241	92068eb363cf8c98f8156c7c7a4dba31	SUBMITTED	2021-05-05T09:48:09.214	2021-05-05T09:55:26.736					0.7000000000		
TAIA first pull	49	S8JMfzgvzT	жен	шах							https://toloka.yandex.ru/task/23846483/00016bde53--609269d9bb4ccb009fbf3693	00016bde53--609269d9bb4ccb009fbf3693	ce3acb6c5f5b6032faf3ddf3d1f749d3	SUBMITTED	2021-05-05T09:48:09.433	2021-05-05T10:06:14.728					0.7000000000		
TAIA first pull	43	S8JMfzgvzT	мужской	121							https://toloka.yandex.ru/task/23846483/00016bde53--609269da04eb6219ecfd4078	00016bde53--609269da04eb6219ecfd4078	1eedae8d8299662359884d66b0630b9c	SUBMITTED	2021-05-05T09:48:10.549	2021-05-05T10:04:25.990					0.7000000000		
TAIA first pull	23	S8JMfzgvzT	женский	annleb							https://toloka.yandex.ru/task/23846483/00016bde53--609269dd0f8c700461b84144	00016bde53--609269dd0f8c700461b84144	872f2833d6ad39f27df1dc45a0e2f368	SUBMITTED	2021-05-05T09:48:13.038	2021-05-05T10:14:06.620					0.7000000000		
TAIA first pull	38	S8JMfzgvzT	М	xxx63rusxxx							https://toloka.yandex.ru/task/23846483/00016bde53--609269de5549355605160daf	00016bde53--609269de5549355605160daf	fd2542a252aab40e1554e7e7e2b2affa	SUBMITTED	2021-05-05T09:48:14.254	2021-05-05T09:57:35.093					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--609269df03acb656d0538103	00016bde53--609269df03acb656d0538103	644105dc402b7b82d8ccf4e50c044e0b	EXPIRED	2021-05-05T09:48:15.842					2021-05-05T09:51:42.315	0.7000000000		
TAIA first pull	24	S8JMfzgvzT	мужской	fever_dreamm							https://toloka.yandex.ru/task/23846483/00016bde53--609269e05b31ab7f1cc7d513	00016bde53--609269e05b31ab7f1cc7d513	455e3a2111dc76524e3e6243bdf37427	SUBMITTED	2021-05-05T09:48:16.768	2021-05-05T09:57:21.659					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--609269e1561411371219c9a3	00016bde53--609269e1561411371219c9a3	dc1fdbfe48100d23e06a49ffb3bfd87f	EXPIRED	2021-05-05T09:48:17.368					2021-05-05T10:23:59.117	0.7000000000		
TAIA first pull	31	S8JMfzgvzT	Мужской	Кьеркегном							https://toloka.yandex.ru/task/23846483/00016bde53--609269e27a614251c98f0780	00016bde53--609269e27a614251c98f0780	25ee2234f34257c19f96ff358986f8ca	SUBMITTED	2021-05-05T09:48:18.238	2021-05-05T10:13:51.570					0.7000000000		
TAIA first pull	32	S8JMfzgvzT	женский	Ирина							https://toloka.yandex.ru/task/23846483/00016bde53--609269e296495b392ff218c2	00016bde53--609269e296495b392ff218c2	c9e31077741127e22ede6121abf413ea	SUBMITTED	2021-05-05T09:48:18.607	2021-05-05T10:00:43.306					0.7000000000		
TAIA first pull	23	S8JMfzgvzT	Мужской	PMojave							https://toloka.yandex.ru/task/23846483/00016bde53--609269e30f15e875b17193e2	00016bde53--609269e30f15e875b17193e2	212fd135208f73122b40320d75ae12bf	SUBMITTED	2021-05-05T09:48:19.657	2021-05-05T10:02:26.909					0.7000000000		
TAIA first pull	19	S8JMfzgvzT	Женский 	Alexia							https://toloka.yandex.ru/task/23846483/00016bde53--609269e46d35fb117bc30161	00016bde53--609269e46d35fb117bc30161	6aa538c5ea3907d342218c3ba4353700	SUBMITTED	2021-05-05T09:48:20.760	2021-05-05T09:57:50.864					0.7000000000		
TAIA first pull	50	S8JMfzgvzT	мужской	and							https://toloka.yandex.ru/task/23846483/00016bde53--609269e4fd5c7a5a8e7f4d97	00016bde53--609269e4fd5c7a5a8e7f4d97	dfb48d6e98bdbf04c32f517858dba5d3	SUBMITTED	2021-05-05T09:48:20.336	2021-05-05T10:06:35.255					0.7000000000		
TAIA first pull	38	S8JMfzgvzT	Жен 	Юлия							https://toloka.yandex.ru/task/23846483/00016bde53--609269e5d95ac73c356e371d	00016bde53--609269e5d95ac73c356e371d	b3acbf5cd1815e2a3e9f269825ba214a	SUBMITTED	2021-05-05T09:48:21.250	2021-05-05T10:06:41.526					0.7000000000		
TAIA first pull	31	S8JMfzgvzT	женский	Марияданс							https://toloka.yandex.ru/task/23846483/00016bde53--609269e670a1e819bcdb7be7	00016bde53--609269e670a1e819bcdb7be7	da8965b445b7f953fe9de4e6576154ac	SUBMITTED	2021-05-05T09:48:22.112	2021-05-05T10:07:48.315					0.7000000000		
TAIA first pull	29	S8JMfzgvzT	Женский	VCVCVC							https://toloka.yandex.ru/task/23846483/00016bde53--609269e70f8c700461b842f8	00016bde53--609269e70f8c700461b842f8	36f19088bce362dd724ac0a330340a4c	SUBMITTED	2021-05-05T09:48:23.444	2021-05-05T10:26:26.167					0.7000000000		
TAIA first pull	18	S8JMfzgvzT	Мужчкой	ThegreatEnzo							https://toloka.yandex.ru/task/23846483/00016bde53--609269e90fcbf23df06f7f11	00016bde53--609269e90fcbf23df06f7f11	e8d41453ba95076b79c670b1dcb90dbf	SUBMITTED	2021-05-05T09:48:25.828	2021-05-05T10:01:14.059					0.7000000000		
TAIA first pull	30	S8JMfzgvzT	женский	атена							https://toloka.yandex.ru/task/23846483/00016bde53--609269edac6a313e5c770401	00016bde53--609269edac6a313e5c770401	b0df6d039a6ba8737dbe14c3abf69935	SUBMITTED	2021-05-05T09:48:29.071	2021-05-05T09:56:58.082					0.7000000000		
TAIA first pull	33	S8JMfzgvzT	женский	liverpool							https://toloka.yandex.ru/task/23846483/00016bde53--609269edd95ac73c356e3912	00016bde53--609269edd95ac73c356e3912	43c263404c99523c529bf82ef0020dc3	SUBMITTED	2021-05-05T09:48:29.339	2021-05-05T10:12:04.397					0.7000000000		
TAIA first pull	31	S8JMfzgvzT	женский	Лариса174							https://toloka.yandex.ru/task/23846483/00016bde53--609269ede313a106d84e650e	00016bde53--609269ede313a106d84e650e	97fc707f601760085d5e1f549f59e564	SUBMITTED	2021-05-05T09:48:29.760	2021-05-05T10:07:00.163					0.7000000000		
TAIA first pull	21	S8JMfzgvzT	Мужской	th3hillhout							https://toloka.yandex.ru/task/23846483/00016bde53--609269ee03acb656d053820b	00016bde53--609269ee03acb656d053820b	36909cdc9247f246c585ccbf050b62ea	SUBMITTED	2021-05-05T09:48:30.334	2021-05-05T10:05:05.436					0.7000000000		
TAIA first pull	31	S8JMfzgvzT	Женский	TIMI							https://toloka.yandex.ru/task/23846483/00016bde53--609269ee561411371219ca64	00016bde53--609269ee561411371219ca64	ed2b6993375e45e9be531c67af282f48	SUBMITTED	2021-05-05T09:48:30.174	2021-05-05T10:06:39.229					0.7000000000		
TAIA first pull	25	S8JMfzgvzT	женский	Varg							https://toloka.yandex.ru/task/23846483/00016bde53--609269eeaae37140696068c3	00016bde53--609269eeaae37140696068c3	9d6bd62ef2d452cd6df1fd26e80a0df9	SUBMITTED	2021-05-05T09:48:30.917	2021-05-05T10:07:26.029					0.7000000000		
TAIA first pull	43	S8JMfzgvzT	м	Chudrikof							https://toloka.yandex.ru/task/23846483/00016bde53--609269f0d95ac73c356e39e1	00016bde53--609269f0d95ac73c356e39e1	707501a1ab6b15bc1f9d45a9132b062a	SUBMITTED	2021-05-05T09:48:32.699	2021-05-05T10:05:43.565					0.7000000000		
TAIA first pull	55	S8JMfzgvzT	ж	Алиса							https://toloka.yandex.ru/task/23846483/00016bde53--609269f1bb4ccb009fbf3882	00016bde53--609269f1bb4ccb009fbf3882	90adcd7b58d34dfec7e1b2659a701185	SUBMITTED	2021-05-05T09:48:33.684	2021-05-05T10:06:09.888					0.7000000000		
TAIA first pull	23	S8JMfzgvzT	мужской	лекс							https://toloka.yandex.ru/task/23846483/00016bde53--609269f25b31ab7f1cc7d5f7	00016bde53--609269f25b31ab7f1cc7d5f7	b97001b47e8f8ddc8cbb53e55e824a85	SUBMITTED	2021-05-05T09:48:34.280	2021-05-05T09:56:57.041					0.7000000000		
TAIA first pull	26	S8JMfzgvzT	Ж	suv0row4an							https://toloka.yandex.ru/task/23846483/00016bde53--609269f403acb656d0538256	00016bde53--609269f403acb656d0538256	6622c1b3107c0a3cb316233b949d8877	SUBMITTED	2021-05-05T09:48:36.054	2021-05-05T10:01:44.752					0.7000000000		
TAIA first pull	27	S8JMfzgvzT	женский 	tatiana_sola							https://toloka.yandex.ru/task/23846483/00016bde53--609269f4bb4ccb009fbf38ba	00016bde53--609269f4bb4ccb009fbf38ba	15c47a56743981470975d6299c959ab2	SUBMITTED	2021-05-05T09:48:36.293	2021-05-05T10:01:52.649					0.7000000000		
TAIA first pull	17	S8JMfzgvzT	Женский 	Анастасия							https://toloka.yandex.ru/task/23846483/00016bde53--609269f6078ece51893a8286	00016bde53--609269f6078ece51893a8286	5593ffffd8c5fb026a519c50f9b73f28	SUBMITTED	2021-05-05T09:48:38.761	2021-05-05T10:06:31.583					0.7000000000		
TAIA first pull	45	S8JMfzgvzT	жен.	Nezh							https://toloka.yandex.ru/task/23846483/00016bde53--609269f6bb4ccb009fbf38d4	00016bde53--609269f6bb4ccb009fbf38d4	e4d7bfc334872db7f75a63527240fdab	SUBMITTED	2021-05-05T09:48:38.119	2021-05-05T10:05:33.001					0.7000000000		
TAIA first pull	54	S8JMfzgvzT	женский	lyudmila							https://toloka.yandex.ru/task/23846483/00016bde53--609269f757f2744231d31f39	00016bde53--609269f757f2744231d31f39	575f932a174e97355bb9ca2afaf170ad	SUBMITTED	2021-05-05T09:48:39.505	2021-05-05T10:03:34.296					0.7000000000		
TAIA first pull	36	S8JMfzgvzT	мужской	ngels-sanek							https://toloka.yandex.ru/task/23846483/00016bde53--609269f7fd5c7a5a8e7f4fc0	00016bde53--609269f7fd5c7a5a8e7f4fc0	31f1115b91dad2c1bd7aac0c626237f8	SUBMITTED	2021-05-05T09:48:39.769	2021-05-05T10:11:41.723					0.7000000000		
TAIA first pull	44	S8JMfzgvzT	Женский	Tatyanasor							https://toloka.yandex.ru/task/23846483/00016bde53--609269f804eb6219ecfd42d7	00016bde53--609269f804eb6219ecfd42d7	562379e96e901561a7ef54f45c27b4ea	SUBMITTED	2021-05-05T09:48:40.270	2021-05-05T10:06:23.657					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--609269f8aae3714069606a44	00016bde53--609269f8aae3714069606a44	2b031919d1cd9962ffdaae9327592961	EXPIRED	2021-05-05T09:48:40.611					2021-05-05T09:50:40.842	0.7000000000		
TAIA first pull	31	S8JMfzgvzT	М	Дима							https://toloka.yandex.ru/task/23846483/00016bde53--609269f996495b392ff219db	00016bde53--609269f996495b392ff219db	2589472eb9548ce38e38d58f1f64df04	SUBMITTED	2021-05-05T09:48:41.156	2021-05-05T10:04:44.011					0.7000000000		
TAIA first pull	38	S8JMfzgvzT	Муж	Алекс							https://toloka.yandex.ru/task/23846483/00016bde53--609269f99d367069240c51d9	00016bde53--609269f99d367069240c51d9	e07b8b74ccf275846bd2029d7b5b3b8f	SUBMITTED	2021-05-05T09:48:41.545	2021-05-05T10:05:52.551					0.7000000000		
TAIA first pull	53	S8JMfzgvzT	мужской	Алекс							https://toloka.yandex.ru/task/23846483/00016bde53--609269fb57f2744231d32014	00016bde53--609269fb57f2744231d32014	85ec027e1fe0e9c24b34b75218a99651	SUBMITTED	2021-05-05T09:48:43.307	2021-05-05T10:10:10.302					0.7000000000		
TAIA first pull	45	S8JMfzgvzT	жен	диа							https://toloka.yandex.ru/task/23846483/00016bde53--609269fc04eb6219ecfd430a	00016bde53--609269fc04eb6219ecfd430a	b37260a0a05c7eaa3cb7d22cc6da84d6	SUBMITTED	2021-05-05T09:48:44.521	2021-05-05T09:56:15.586					0.7000000000		
TAIA first pull	31	S8JMfzgvzT	МУЖСКОЙ	Anikron							https://toloka.yandex.ru/task/23846483/00016bde53--609269fc5b31ab7f1cc7d68a	00016bde53--609269fc5b31ab7f1cc7d68a	3a486b4ba1b9bf540fa3e96a2942d1ef	SUBMITTED	2021-05-05T09:48:44.690	2021-05-05T09:58:45.399					0.7000000000		
TAIA first pull	32	S8JMfzgvzT	мужской	Виктор07							https://toloka.yandex.ru/task/23846483/00016bde53--609269fd7d9ddc487d6ca565	00016bde53--609269fd7d9ddc487d6ca565	192232790a14905b20ad0e41342c9652	SUBMITTED	2021-05-05T09:48:45.212	2021-05-05T10:11:21.981					0.7000000000		
TAIA first pull	36	S8JMfzgvzT	мужской	lavk							https://toloka.yandex.ru/task/23846483/00016bde53--609269fdd207773d90484c67	00016bde53--609269fdd207773d90484c67	c582919b573d4e1455ed250113e45b31	SUBMITTED	2021-05-05T09:48:45.012	2021-05-05T10:11:20.907					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--609269fe40338e0731cf30bf	00016bde53--609269fe40338e0731cf30bf	fdea61fc71cfb538e3fe2eb906f722bc	EXPIRED	2021-05-05T09:48:46.716					2021-05-05T10:50:26.716	0.7000000000		
TAIA first pull	23	S8JMfzgvzT	мужской	abobaDen							https://toloka.yandex.ru/task/23846483/00016bde53--609269ff09c70d3ddc57a84f	00016bde53--609269ff09c70d3ddc57a84f	1229cc184e03329b27cd7967b5d7d2b3	SUBMITTED	2021-05-05T09:48:47.473	2021-05-05T09:57:16.054					0.7000000000		
TAIA first pull	26	S8JMfzgvzT	Женский	НастяяяЛОЛ							https://toloka.yandex.ru/task/23846483/00016bde53--60926a005549355605161062	00016bde53--60926a005549355605161062	e8857c85e6d60e8beeba9af57c6514a4	SUBMITTED	2021-05-05T09:48:48.191	2021-05-05T10:13:04.975					0.7000000000		
TAIA first pull	36	S8JMfzgvzT	Мужской	Афанасий							https://toloka.yandex.ru/task/23846483/00016bde53--60926a01d207773d90484d56	00016bde53--60926a01d207773d90484d56	310572a178c9c30e1a9d6a441938efdb	SUBMITTED	2021-05-05T09:48:49.824	2021-05-05T10:06:07.631					0.7000000000		
TAIA first pull	30	S8JMfzgvzT	Мужской	6pa4o							https://toloka.yandex.ru/task/23846483/00016bde53--60926a01fd5c7a5a8e7f5052	00016bde53--60926a01fd5c7a5a8e7f5052	b645c326d8ff17ed52df9b6487890144	SUBMITTED	2021-05-05T09:48:49.433	2021-05-05T10:02:12.722					0.7000000000		
TAIA first pull	35	S8JMfzgvzT	женский	Iulia							https://toloka.yandex.ru/task/23846483/00016bde53--60926a020f8c700461b84774	00016bde53--60926a020f8c700461b84774	4a42ff8ddd457f229fca5389b7c247b0	SUBMITTED	2021-05-05T09:48:50.135	2021-05-05T10:05:09.529					0.7000000000		
TAIA first pull	38	S8JMfzgvzT	Мужской	Imous							https://toloka.yandex.ru/task/23846483/00016bde53--60926a02bb4ccb009fbf3a17	00016bde53--60926a02bb4ccb009fbf3a17	d510b5e11fee71108bf00428ae4151d0	SUBMITTED	2021-05-05T09:48:50.524	2021-05-05T10:05:45.332					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--60926a0338310858416becfc	00016bde53--60926a0338310858416becfc	f1e83728eb021720333b0cb8bc794944	EXPIRED	2021-05-05T09:48:51.413					2021-05-05T09:50:34.438	0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--60926a04078ece51893a83b9	00016bde53--60926a04078ece51893a83b9	78fa666381aa1f5f9edd3d427306d6b1	EXPIRED	2021-05-05T09:48:52.455					2021-05-05T09:49:01.918	0.7000000000		
TAIA first pull	36	S8JMfzgvzT	Мужской	Михаил							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0496495b392ff21ab5	00016bde53--60926a0496495b392ff21ab5	b3bc6846d976371820c6018b25f15be1	SUBMITTED	2021-05-05T09:48:52.893	2021-05-05T09:57:07.246					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--60926a050f8c700461b847d4	00016bde53--60926a050f8c700461b847d4	595d377cac6716976f086d76dec60c71	EXPIRED	2021-05-05T09:48:53.229					2021-05-05T09:49:26.122	0.7000000000		
TAIA first pull	34	S8JMfzgvzT	ж	Melsh							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0540338e0731cf313d	00016bde53--60926a0540338e0731cf313d	6ff65d55e0f639dc32b8fc16b30d0c6e	SUBMITTED	2021-05-05T09:48:53.667	2021-05-05T10:09:32.585					0.7000000000		
TAIA first pull	44	S8JMfzgvzT	мужской	zhura45							https://toloka.yandex.ru/task/23846483/00016bde53--60926a067d9ddc487d6ca60c	00016bde53--60926a067d9ddc487d6ca60c	1ce75f5026fbc324d464e6cf4ee2b95d	SUBMITTED	2021-05-05T09:48:54.016	2021-05-05T10:04:36.582					0.7000000000		
TAIA first pull	37	S8JMfzgvzT	мужской	Andr37							https://toloka.yandex.ru/task/23846483/00016bde53--60926a070f8c700461b8484a	00016bde53--60926a070f8c700461b8484a	340f934bc6fb3075f59d27606a606f3b	SUBMITTED	2021-05-05T09:48:55.977	2021-05-05T10:06:34.139					0.7000000000		
TAIA first pull	20	S8JMfzgvzT	Мужской	GoGoBitrucken							https://toloka.yandex.ru/task/23846483/00016bde53--60926a079d367069240c528d	00016bde53--60926a079d367069240c528d	584eeba8fd5bfd3e22d9453de9fa5021	SUBMITTED	2021-05-05T09:48:55.014	2021-05-05T10:01:09.079					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--60926a08d2eb476f0651ae57	00016bde53--60926a08d2eb476f0651ae57	dc102bd0f2dad1bd56abe318adca2401	EXPIRED	2021-05-05T09:48:56.261					2021-05-05T09:50:13.902	0.7000000000		
TAIA first pull	35	S8JMfzgvzT	мужской	spektr							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0940338e0731cf3200	00016bde53--60926a0940338e0731cf3200	b7abc434aa0b9962eef3272f9a53dba1	SUBMITTED	2021-05-05T09:48:57.732	2021-05-05T10:05:32.743					0.7000000000		
TAIA first pull	36	S8JMfzgvzT	Женский	Anikai							https://toloka.yandex.ru/task/23846483/00016bde53--60926a097d9ddc487d6ca6a4	00016bde53--60926a097d9ddc487d6ca6a4	16c291761fbd89899ffce456c2136324	SUBMITTED	2021-05-05T09:48:57.362	2021-05-05T09:59:05.313					0.7000000000		
TAIA first pull	55	S8JMfzgvzT	женский	A.S.							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0aac6a313e5c77061a	00016bde53--60926a0aac6a313e5c77061a	d4e79e64fb7421bc8d354685b815b710	SUBMITTED	2021-05-05T09:48:58.274	2021-05-05T10:02:31.321					0.7000000000		
TAIA first pull	34	S8JMfzgvzT	мужской	Алега							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0b7a614251c98f0a53	00016bde53--60926a0b7a614251c98f0a53	047890257214508c5c4ac3e343337a31	SUBMITTED	2021-05-05T09:48:59.675	2021-05-05T10:10:47.958					0.7000000000		
TAIA first pull											https://toloka.yandex.ru/task/23846483/00016bde53--60926a0cbb4ccb009fbf3bbb	00016bde53--60926a0cbb4ccb009fbf3bbb	81586334ae07eae58d0e75904ac1f05b	EXPIRED	2021-05-05T09:49:00.496					2021-05-05T10:50:40.496	0.7000000000		
TAIA first pull	34	S8JMfzgvzT	Женский	Ainegve							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0cbb4ccb009fbf3bc9	00016bde53--60926a0cbb4ccb009fbf3bc9	1e98da3b9fc97f972352ee7bd1645ea8	SUBMITTED	2021-05-05T09:49:00.948	2021-05-05T10:09:38.879					0.7000000000		
TAIA first pull	34	S8JMfzgvzT	женский	Katya1987							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0cca4cce13cb4f8c08	00016bde53--60926a0cca4cce13cb4f8c08	868a1f6815daf8d7b21b308cc3bbdaea	SUBMITTED	2021-05-05T09:49:00.218	2021-05-05T10:16:11.526					0.7000000000		
TAIA first pull	32	S8JMfzgvzT	мужской	Denis123							https://toloka.yandex.ru/task/23846483/00016bde53--60926a0dd159ef4ffa6da2f2	00016bde53--60926a0dd159ef4ffa6da2f2	c29fa1b2176485392c75d72acd82e148	SUBMITTED	2021-05-05T09:49:01.829	2021-05-05T09:58:28.901					0.7000000000		
TAIA first pull	37	S8JMfzgvzT	мужской	Саратон							https://toloka.yandex.ru/task/23846483/00016bde53--60926a11bb4ccb009fbf3c44	00016bde53--60926a11bb4ccb009fbf3c44	869f17928e1600bf276e6d71b785dda4	SUBMITTED	2021-05-05T09:49:05.453	2021-05-05T10:24:21.342					0.7000000000		
TAIA first pull	35	S8JMfzgvzT	мужской	Zopka							https://toloka.yandex.ru/task/23846483/00016bde53--60926a149d367069240c53b4	00016bde53--60926a149d367069240c53b4	e40650441d5220c7298350033303293b	SUBMITTED	2021-05-05T09:49:08.858	2021-05-05T10:01:52.029					0.7000000000		
TAIA first pull	29	S8JMfzgvzT	женский	Авокато							https://toloka.yandex.ru/task/23846483/00016bde53--60926a14f941c07be7ea1771	00016bde53--60926a14f941c07be7ea1771	564190136f40a8b61915fd4815060675	SUBMITTED	2021-05-05T09:49:08.127	2021-05-05T10:05:01.265					0.7000000000		
TAIA first pull	25	S8JMfzgvzT	мужской	Андрей							https://toloka.yandex.ru/task/23846483/00016bde53--60926a15078ece51893a8653	00016bde53--60926a15078ece51893a8653	96f8183120d143b44f77e48106e94e8f	SUBMITTED	2021-05-05T09:49:09.200	2021-05-05T10:12:18.501					0.7000000000		
TAIA first pull	37	S8JMfzgvzT	женский	madlenkka							https://toloka.yandex.ru/task/23846483/00016bde53--60926a1640338e0731cf340b	00016bde53--60926a1640338e0731cf340b	f06572758d7c24e8893ad43e0eab9933	SUBMITTED	2021-05-05T09:49:10.736	2021-05-05T10:16:29.737					0.7000000000		
TAIA first pull	43	S8JMfzgvzT	муж.	olegus							https://toloka.yandex.ru/task/23846483/00016bde53--60926a1719d8d52be2051353	00016bde53--60926a1719d8d52be2051353	bc386ace3201895d91726fe4492cb07c	SUBMITTED	2021-05-05T09:49:11.108	2021-05-05T09:53:25.639					0.7000000000		
TAIA first pull	49	S8JMfzgvzT	мужской	Oleg							https://toloka.yandex.ru/task/23846483/00016bde53--60926a18ca4cce13cb4f8ca5	00016bde53--60926a18ca4cce13cb4f8ca5	fa6ce7f6c076ee8d57c30f0d29fe64a7	SUBMITTED	2021-05-05T09:49:12.803	2021-05-05T10:16:33.731					0.7000000000		
TAIA first pull	41	S8JMfzgvzT	Мужской	"Viktor
"							https://toloka.yandex.ru/task/23846483/00016bde53--60926a1a0f15e875b171986e	00016bde53--60926a1a0f15e875b171986e	c22a2731a65d02dacd2c00aadb48c581	SUBMITTED	2021-05-05T09:49:14.487	2021-05-05T10:02:43.362					0.7000000000		
TAIA first pull	34	S8JMfzgvzT	female	Genai							https://toloka.yandex.ru/task/23846483/00016bde53--60926a1a1e05b21892c72f5a	00016bde53--60926a1a1e05b21892c72f5a	d3a09190adeb4796579aebcf1066f75c	SUBMITTED	2021-05-05T09:49:14.186	2021-05-05T10:01:33.710					0.7000000000		
TAIA first pull	20	S8JMfzgvzT	Мужской	Shelton							https://toloka.yandex.ru/task/23846483/00016bde53--60926a1bd207773d9048512b	00016bde53--60926a1bd207773d9048512b	e4c19713cf931d0b11ccd6a7e8076f4e	SUBMITTED	2021-05-05T09:49:15.354	2021-05-05T10:04:00.146					0.7000000000		
